383,97,57
511,169,63
528,324,52
439,299,30
389,236,45
345,257,16
332,213,16
155,565,48
41,633,23
90,667,21
126,642,37
168,660,17
390,663,44
502,563,47
571,644,26
653,619,32
732,501,44
624,484,47
668,542,47
900,793,34
831,795,30
833,851,20
808,670,28
792,711,21
701,714,28
751,943,35
865,983,32
992,973,24
801,946,23
520,1110,65
644,1143,41
638,1036,49
966,1082,42
932,1177,58
875,1092,13
875,1105,0
858,1159,25
717,1022,21
589,862,19
501,825,23
338,827,33
396,948,39
327,927,28
370,1105,40
444,1212,26
554,1219,42
423,1349,35
361,1365,37
350,1446,19
342,1261,18
663,1520,42
661,1435,34
574,1511,28
756,1824,53
911,1722,39
886,1787,25
968,1330,30
966,1397,28
786,1530,57
832,1476,16
906,1581,30
977,1567,30
989,1733,19
978,1942,35
530,1919,49
602,1905,37
436,1975,23
370,1708,30
413,1683,23
343,1768,19
214,1782,77
213,1859,19
342,1896,21
142,1101,35
102,1168,44
100,1221,30
44,1168,32
38,1666,26
18,1924,18
74,1949,19
47,955,23
176,846,28
193,765,30
154,299,35
93,297,32
331,431,23
444,751,23
688,49,53
811,299,42
803,185,33
692,324,38
981,389,37
969,308,37
930,250,30
945,633,21
979,654,27
926,21,35
851,21,30
802,1636,40
696,1713,27
579,1766,39
749,1386,37
761,1300,33
868,1272,30
789,1180,25
615,1372,23
613,1333,18
579,1393,18
877,1390,28
710,1622,19
543,1683,18
640,1805,19
79,760,30
196,1335,30
35,1453,42
239,232,35
255,97,26
217,53,26
180,88,16
291,32,19
339,9,21
618,32,31
