215,158,53
217,269,55
377,276,53
376,162,33
392,90,33
504,121,46
496,216,39
554,218,30
611,204,30
644,132,33
677,107,16
745,169,42
740,44,46
888,65,23
907,146,28
120,125,46
180,74,37
229,44,43
320,63,41
446,23,21
51,572,72
72,406,34
97,362,34
154,424,30
154,487,37
215,605,44
261,716,40
123,707,44
84,765,41
147,802,32
34,765,18
28,925,39
50,985,31
15,1050,18
82,1096,28
162,1082,30
106,1015,26
148,994,44
196,936,35
244,475,39
268,389,33
354,598,37
278,584,26
359,658,44
440,637,30
404,598,23
516,610,39
518,667,42
522,721,44
583,658,37
647,598,25
575,547,23
118,243,28
43,232,23
37,294,23
12,255,18
4,301,21
30,137,32
37,28,25
824,584,57
883,556,47
957,559,32
978,644,16
909,658,12
952,475,12
913,422,21
846,304,28
754,229,28
800,216,28
885,362,32
794,368,38
726,359,33
673,327,30
678,246,44
632,292,21
655,452,35
684,475,30
703,563,33
715,635,30
699,688,49
663,762,31
584,841,43
733,867,38
786,902,34
771,955,40
821,997,20
369,765,55
446,848,44
501,962,58
548,1008,53
639,992,51
344,470,19
419,466,37
471,450,25
531,413,64
593,385,32
778,1152,60
852,1235,26
917,1335,55
861,918,46
908,904,28
655,1159,41
712,1300,40
810,1374,35
932,1543,40
832,1518,37
856,1567,39
726,1437,65
623,1330,42
532,1194,37
519,1251,42
446,1061,28
495,1110,33
447,1124,35
311,860,51
332,906,53
233,888,53
215,1010,35
255,976,34
48,1180,30
12,767,19
33,1258,24
21,1300,28
22,1395,35
61,1469,47
21,1557,61
143,1673,47
28,1720,39
40,1819,40
67,1870,44
925,1652,54
934,1706,44
522,1353,28
465,1414,30
424,1397,14
433,1326,51
344,1390,51
297,1302,38
185,1295,56
605,1444,44
637,1516,46
566,1509,51
124,1407,55
234,1430,35
117,1328,32
145,1175,23
199,1189,49
379,1194,44
343,1233,49
276,1068,56
265,1140,49
466,1636,79
435,1550,58
293,1530,62
347,1560,44
308,1685,51
171,1497,35
180,1543,49
242,1601,35
226,1643,26
732,1560,44
748,1666,51
567,1706,58
572,1643,37
510,1752,39
647,1657,26
679,1766,49
776,1822,60
806,1747,70
833,1662,58
946,1884,44
978,1842,42
304,1810,56
392,1819,44
462,1935,51
354,1917,62
232,1944,61
188,1782,51
196,1833,33
137,1930,45
34,1977,18
7,1930,17
653,1247,21
680,1889,32
627,1970,46
560,1849,44
602,1884,42
824,1937,58
756,1912,35
987,1061,24
11,848,21
