339,1460,90
546,1374,63
731,1400,46
826,1340,46
905,1305,35
921,1692,60
632,1629,26
697,1648,37
645,1771,39
845,1840,37
232,1622,44
132,1615,47
108,1747,54
183,1764,51
136,1893,58
28,1840,53
358,1972,51
389,1627,72
577,1822,41
664,1546,18
522,1520,35
577,1509,34
870,533,58
826,686,42
851,756,44
828,1027,46
520,519,67
93,227,81
48,362,62
198,422,46
131,387,37
214,311,25
156,519,67
331,461,33
338,519,44
416,563,37
676,489,56
676,633,46
742,718,33
418,698,53
298,1228,56
247,1279,54
209,1173,44
53,820,37
48,922,35
8,978,28
39,1087,25
21,1124,35
71,1105,26
35,1200,28
87,1460,58
176,1472,60
160,1390,45
110,1228,16
28,1395,44
101,1298,72
245,1863,30
34,1972,37
586,1613,42
512,1745,28
740,1759,44
762,1655,39
632,1694,51
520,1657,49
597,1893,42
518,1954,41
475,1891,53
737,1912,60
592,1954,34
415,1731,53
400,1059,49
362,1006,35
292,992,32
317,1092,53
585,987,56
426,899,30
447,969,48
391,1219,44
461,1251,28
457,1462,40
688,1041,27
688,1082,21
655,1238,23
630,1279,21
817,1129,30
960,1414,44
896,1469,28
985,1523,16
743,109,65
887,70,44
897,178,61
818,220,47
646,348,27
176,72,51
342,176,40
411,49,34
595,190,37
46,32,47
312,746,79
176,779,44
256,871,47
497,832,58
111,1048,60
78,549,61
57,691,41
56,751,32
140,735,46
221,728,37
173,857,33
141,952,47
517,946,71
512,677,39
573,723,42
641,783,37
632,832,60
785,348,16
737,408,21
703,350,21
683,399,25
411,262,44
462,209,46
294,352,42
285,593,23
480,591,35
568,1226,28
318,1722,49
309,1896,53
274,139,44
515,60,33
478,107,27
729,14,23
838,1659,24
456,422,32
408,494,32
185,176,33
184,269,30
914,915,31
771,1001,21
